Req Number,Release 25 Requirement,Domain,Section
175,The Authorised Vetting Agency commences the security clearance revalidation process in sufficient time to complete the revalidation before the due date so that the security clearance does not lapse.,PER,21. Maintenance and Ongoing Assessment
176,"The Authorised Vetting Agency shares information of concern about security clearance holders with the Sponsoring Entity so they can decide whether to suspend or limit the clearance holder’s access to Australian Government classified information, resources or activities until the concerns are resolved.",PER,21. Maintenance and Ongoing Assessment
177,"The Sponsoring Entity shares relevant information of security concern, where appropriate with the Authorised Vetting Agency.",PER,21. Maintenance and Ongoing Assessment
178,The Authorised Vetting Agency shares information of security concern about security clearance holders with the Sponsoring Entity.,PER,21. Maintenance and Ongoing Assessment
179,"The Authorised Vetting Agency assesses and responds to information of security concern about security clearance holders, including reports from Sponsoring Entities.",PER,21. Maintenance and Ongoing Assessment
180,Negative Vetting 2 and higher clearance holders receive appropriate departmental travel briefings when undertaking international personal and work travel.,PER,21. Maintenance and Ongoing Assessment
181,"The Chief Security Officer, Chief Information Security Officer (or other relevant security practitioner) is advised prior to separation or transfer of any proposed cessation of employment resulting from misconduct or other adverse reasons.",PER,22. Separation
182,Separating personnel are informed of any ongoing security obligations under the Commonwealth Criminal Code and other relevant legislation and those holding a security clearance or access security classified information are debriefed prior to separation from the entity.,PER,22. Separation
183,"Separating personnel transferring to another Australian Government entity, the entity, when requested, provides the receiving entity with relevant security information, including the outcome of pre-employment screening checks and any periodic employment suitability checks.",PER,22. Separation
184,"Separating personnel transferring to another Australian Government entity, the entity reports any security concerns (as defined in the Australian Security Intelligence Organisation Act 1979) to the Australian Security Intelligence Organisation.",PER,22. Separation
185,A risk assessment is completed to identify any security implications in situations where it is not possible to undertake the required separation procedures.,PER,22. Separation
186,"Separating personnel have their access to Australian Government resources withdrawn upon separation or transfer from the entity, including information, technology systems, and resources.",PER,22. Separation
187,"The Sponsoring Entity advises the relevant Authorised Vetting Agency of the separation of a clearance holder, including any relevant circumstances (e.g. termination for cause) and any details, if known, of another entity or contracted service provider the clearance holder is transferring to, along with any identified risks or security concerns associated with the separation.",PER,22. Separation
188,"The Authorised Vetting Agency manages and records changes in the security clearance status of separating personnel, including a change of Sponsoring Entity, and transfer personal security files where a clearance subject transfers to an entity covered by a different Authorised Vetting Agency, to the extent that their enabling legislation allows.",PER,22. Separation
189,"Protective security is integrated in the process of planning, selecting, designing and modifying entity facilities for the protection of people, information and resources.",PHYS,23. Physical Security Lifecycle
190,"A facility security plan is developed for new facilities, facilities under construction or major refurbishments of existing facilities.",PHYS,23. Physical Security Lifecycle
191,Decisions on entity facility locations are informed by considering the site selection factors for Australian Government facilities.,PHYS,23. Physical Security Lifecycle
192,"When designing or modifying facilities, the entity secures and controls access to facilities to meet the highest risk level to entity resources in accordance with Security Zone restricted access definitions.",PHYS,23. Physical Security Lifecycle
193,"Facilities are constructed in accordance the applicable ASIO Technical Notes to protect against the highest risk level in accordance with the entity security risk assessment in areas:
• accessed by the public and authorised personnel, and
• where physical resources and technical assets, other than security classified resources and technology, are stored.",PHYS,23. Physical Security Lifecycle
194,"Facilities for Security Zones Two to Five that process, store or communicate security classified information and resources are constructed in accordance with the applicable sections of ASIO Technical Note 1/15 – Physical Security Zones, and ASIO Technical Note 5/12 – Physical Security Zones (TOP SECRET) areas.",PHYS,23. Physical Security Lifecycle
195,Entity facilities are operated and maintained in accordance with Security Zones and Physical Security Measures and Controls.,PHYS,23. Physical Security Lifecycle
196,Security Zones One to Four are certified by the Certification Authority in accordance with the PSPF and applicable ASIO Technical Notes before they are used operationally.,PHYS,24. Security Zones
197,"Security Zone Five areas that contain TOP SECRET security classified information or aggregated information where the compromise of confidentiality, loss of integrity or unavailability of that information may have a catastrophic business impact level, are certified by ASIO-T4 before they are used operationally.",PHYS,24. Security Zones
198,"Security Zones One to Five are accredited by the Accreditation Authority before they are used operationally, on the basis that the required security controls are certified and the entity determines and accepts the residual risks.",PHYS,24. Security Zones
199,Sensitive Compartmented Information Facility areas used to secure and access TOP SECRET systems and security classified compartmented information are accredited by the Australian Signals Directorate before they are used operationally.,PHYS,24. Security Zones
200,"Physical security measures are implemented to minimise or remove the risk of information and physical asset resources being made inoperable or inaccessible, or being accessed, used or removed without appropriate authorisation.",PHYS,25. Physical Security Measures and Controls
201,"Physical security measures are implemented to protect entity resources, commensurate with the assessed business impact level of their compromise, loss or damage.",PHYS,25. Physical Security Measures and Controls
202,Physical security measures are implemented to minimise or remove the risk of harm to people.,PHYS,25. Physical Security Measures and Controls
203,"The appropriate container, safe, vault, cabinet, secure room or strong rooms is used to protect entity information and resources based on the applicable Security Zone and business impact level of the compromise, loss or damage to information or physical resources.",PHYS,25. Physical Security Measures and Controls
204,"Perimeter doors and hardware in areas that process, store or communicate security classified information or resources are constructed and secured in accordance with the physical security measures and controls for perimeter doors and hardware.",PHYS,25. Physical Security Measures and Controls
205,"Access by authorised personnel, vehicles and equipment to Security Zones One to Five is controlled in accordance with the physical security measures and controls for access control for authorised personnel.",PHYS,25. Physical Security Measures and Controls
206,Access by visitors to Security Zones One to Five is controlled in accordance with the physical security measures and controls for access control for visitors.,PHYS,25. Physical Security Measures and Controls
207,"The Accountable Authority or Chief Security Officer approves ongoing (or regular) access to entity facilities for people who are not directly engaged by the entity or covered by the terms of a contract or agreement, on the basis that the person:
• has the required security clearance level for the Security Zone/s, and
• a business need supported by a business case and security risk assessment, which is reassessed at least every two years. ",PHYS,25. Physical Security Measures and Controls
208,Unauthorised access to Security Zones One to Five is controlled in accordance with the physical security measures and controls for security alarm systems.,PHYS,25. Physical Security Measures and Controls
209,Security guard arrangements in Security Zones One to Five are established in accordance with the physical security measures and controls for security guards.,PHYS,25. Physical Security Measures and Controls
210,Technical surveillance countermeasures for Security Zones One to Five are established in accordance with the physical security measures and controls for technical surveillance countermeasures.,PHYS,25. Physical Security Measures and Controls
